발전구분,호기,일자,1시 발전량(MWh),2시 발전량(MWh),3시 발전량(MWh),4시 발전량(MWh),5시 발전량(MWh),6시 발전량(MWh),7시 발전량(MWh),8시 발전량(MWh),9시 발전량(MWh),10시 발전량(MWh),11시 발전량(MWh),12시 발전량(MWh),13시 발전량(MWh),14시 발전량(MWh),15시 발전량(MWh),16시 발전량(MWh),17시 발전량(MWh),18시 발전량(MWh),19시 발전량(MWh),20시 발전량(MWh),21시 발전량(MWh),22시 발전량(MWh),23시 발전량(MWh),24시 발전량(MWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소,파일출처
영흥태양광,1, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.645,28.109,126.566,180.403,126.259,80.102,19.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.783,24,180.4,5.645,180.403,0,남동발전량_2025_01.csv
예천태양광,1, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.0,7.2,39.06,48.96,50.04,42.84,40.86,57.78,55.26,28.98,0.54,0.0,0.0,0.0,0.0,0.0,0.0,371.52,15,57.78,0.54,57.78,0,남동발전량_2025_01.csv
여수태양광,1, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.01,438.01,18,438.01,438.01,438.01,0,남동발전량_2025_01.csv
영흥태양광,2, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,12.564,26.067,44.526,47.528,53.419,48.379,40.547,207.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.436,20,207.4,12.56,207.406,0,남동발전량_2025_01.csv
탑선태양광,1, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,339.0,14,339.0,339.0,339.0,0,남동발전량_2025_01.csv
탑선태양광,3, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,342.0,14,342.0,342.0,342.0,0,남동발전량_2025_01.csv
경상대태양광,1, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.576,84.096,279.072,406.44,531.288,577.224,561.744,424.152,306.432,113.256,27.936,0.0,0.0,0.0,0.0,0.0,0.0,3312.216,138,577.22,0.576,577.224,0,남동발전량_2025_01.csv
고흥만 수상태양광,1, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,179.928,5526.192,23462.46,35429.604,36253.392,29568.168,39991.56,36919.092,30635.724,9001.692,1722.672,0.0,0.0,0.0,0.0,0.0,0.0,248690.484,10362,39991.56,179.928,39991.56,0,남동발전량_2025_01.csv
영동태양광,1, 2025-01-27 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,16.224,20.544,19.68,20.448,24.576,23.136,23.328,474.72,585.888,688.032,686.496,398.016,0.0,0.0,0.0,2981.088,124,688.03,16.224,688.032,0,남동발전량_2025_01.csv
삼천포태양광#5,1, 2025-01-27 00:00:00,0,0,0,0,0,0.0,0.0,0.0,78.848,191.22,190.374,420.541,469.86,443.858,288.948,1505.019,2526.454,2487.424,2437.024,767.751,0.0,0.0,0.0,0.0,11807.321,492,2526.45,78.84,2526.454,0,남동발전량_2025_01.csv
